Time (UTC),Action,Detail,Notes
29_9_2020 @ 16:9:22,Sign-Up,,
29_9_2020 @ 16:9:22:444,move,edit,
29_9_2020 @ 16:9:29:170,edit_info,bio,I am stupid
29_9_2020 @ 16:9:29:207,submit_edits,,
29_9_2020 @ 16:9:29:326,move,profile,
29_9_2020 @ 16:9:38:224,exit,profile,
29_9_2020 @ 16:9:38:270,move,tag_tutorial,
29_9_2020 @ 16:9:39:293,exit,tag_tutorial,
29_9_2020 @ 16:9:39:333,move,profile,
29_9_2020 @ 16:9:40:51,exit,profile,
29_9_2020 @ 16:9:40:143,move,leaderboard,1
29_9_2020 @ 16:9:40:950,exit,leaderboard,1
29_9_2020 @ 16:9:40:987,move,profile,
29_9_2020 @ 16:9:43:845,exit,profile,
