time,pitch,yaw,hfov
25,0,0,100
47,0,0,100
62,0,0,100
833,0,0,100
841,0,0,100
861,0,0,100
881,0,0,100
901,0,0,100
921,0,0,100
941,0,0,100
961,0,0,100
981,0,0,100
1001,0,0,100
1021,0,0,100
1040,0,0,100
1061,0,0,100
1080,0,0,100
1101,0,0,100
1120,0,0,100
1141,0,0,100
1161,0,0,100
1181,0,0,100
1201,0,0,100
1222,0,0,100
1240,0,0,100
1260,0,0,100
1280,0,0,100
1301,0,0,100
1321,0,0,100
1344,0,0,100
1363,0,0,100
1383,0,0,100
1401,0,0,100
1421,0,0,100
1441,0,0,100
1461,0,0,100
1481,0,0,100
1503,0,0,100
1521,0,0,100
1541,0,0,100
1561,0,0,100
1581,0,0,100
1601,0,0,100
